Date,Symbol,Open,High,Low,sentiment,Close,Volume BTC,Volume USD
3/19/2019,BTCUSD,3970.5,3984.58,3969.58,-0.5,3975.01,361.69,1438461.03
3/18/2019,BTCUSD,3967.01,4015.7,3937.69,-0.7,3970.5,5416.76,21516929.92
3/17/2019,BTCUSD,3990,3991,3936.3,0.3,3967.01,3285.58,13030110.4
3/16/2019,BTCUSD,3902.8,4037.47,3900.93,-0.4,3990,6188.47,24615016.13
3/15/2019,BTCUSD,3853.95,3910,3846.79,-0.2,3902.8,6550.17,25436911.1
3/14/2019,BTCUSD,3851.02,3900,3779.28,-0.4,3853.95,6992.9,26886698
3/13/2019,BTCUSD,3860,3871.02,3827.5,0.3,3851.02,5460.66,21041161.73
3/12/2019,BTCUSD,3849.68,3875.33,3798.16,-0.3,3860,6489.22,24965536.42
3/11/2019,BTCUSD,3900.92,3911.83,3817.01,0.5,3849.68,5750.54,22190744.14
3/10/2019,BTCUSD,3917,3917,3867.84,0.4,3900.92,3444.59,13416590.84
3/9/2019,BTCUSD,3843.12,3947.33,3834.59,-0.2,3917,5170.55,20142551.25
3/8/2019,BTCUSD,3857.05,3910.88,3771,0.2,3843.12,8160.65,31578776.48
3/7/2019,BTCUSD,3851.89,3891,3830.79,-0.5,3857.05,6997.28,27045042.11
3/6/2019,BTCUSD,3844.59,3894.7,3812,-0.4,3851.89,6615.04,25412172.29
3/5/2019,BTCUSD,3700.72,3874.98,3692.36,-0.3,3844.59,8617.6,32710915.64
3/4/2019,BTCUSD,3786.93,3804.99,3672.39,0.2,3700.72,7793.41,28997773.37
3/3/2019,BTCUSD,3809.7,3815.48,3763.62,0.3,3786.93,3839.56,14578727.87
3/2/2019,BTCUSD,3806.17,3818.08,3763,-0.2,3809.7,3583.18,13632830.38
3/1/2019,BTCUSD,3792.14,3843,3791.31,-0.2,3806.17,6474.64,24705314.88
2/28/2019,BTCUSD,3799.92,3899.99,3755.21,0.3,3792.14,8766.86,33445250.63
